Title,Average_Rating,Director,Number_reviews,Release_Date,Actor1,Actor2,Genre1,Genre2
28 Weeks Later,3.13,Juan Carlos Fresnadillo,10662,2007,Robert Carlyle,Rose Byrne,Horror,Science Fiction
Fast & Furious 6,3.05,Justin Lin,21472,2013,Vin Diesel,Paul Walker,Crime,Action
Way Out West,3.74,James W. Horne,598,1937,Stan Laurel,Oliver Hardy,Western,Action
Never Rarely Sometimes Always,3.97,Eliza Hittman,21155,2020,Sidney Flanigan,Talia Ryder,Drama,
Twelve O'Clock High,3.67,Henry King,629,1949,Gregory Peck,Hugh Marlowe,Action,War
Rocketry: The Nambi Effect,3.4,R. Madhavan,907,2022,R. Madhavan,Suriya,History,Drama
A New Leaf,3.91,Elaine May,7239,1971,Walter Matthau,Elaine May,Romance,Comedy
Bananas,3.39,Woody Allen,2125,1971,Woody Allen,Louise Lasser,Comedy,
The Brood,3.6,David Cronenberg,15222,1979,Oliver Reed,Samantha Eggar,Science Fiction,Horror
Scanners,3.48,David Cronenberg,19622,1981,Jennifer O'Neill,Stephen Lack,Horror,Science Fiction
The Menu,3.55,Mark Mylod,394000,2022,Anya Taylor-Joy,Ralph Fiennes,Comedy,Thriller
The Town,3.64,Ben Affleck,18108,2010,Ben Affleck,Jeremy Renner,Thriller,Drama
Sundays and Cybele,3.87,Serge Bourguignon,265,1962,Hardy Krüger,Nicole Courcel,Drama,
Gunga Din,3.42,George Stevens,795,1939,Cary Grant,Victor McLaglen,War,Action
The Man Who Fell to Earth,3.48,Nicolas Roeg,7494,1976,David Bowie,Rip Torn,Science Fiction,Drama
How to Train Your Dragon: The Hidden World,3.64,Dean DeBlois,25889,2019,Jay Baruchel,America Ferrera,Animation,Adventure
My Name Is Khan,3.61,Karan Johar,1479,2010,Shah Rukh Khan,Kajol,Romance,Drama
Animal Crackers,3.64,Victor Heerman,1616,1930,Groucho Marx,Harpo Marx,Music,Comedy
King Richard,3.68,Reinaldo Marcus Green,44700,2021,Will Smith,Aunjanue Ellis-Taylor,History,Drama
Fellini Satyricon,3.64,Federico Fellini,2423,1969,Martin Potter,Hiram Keller,Fantasy,Drama
"It's the Great Pumpkin, Charlie Brown",4.05,Bill Melendez,14627,1966,Peter Robbins,Christopher Shea,Animation,Comedy
DodgeBall: A True Underdog Story,3.17,Rawson Marshall Thurber,18482,2004,Vince Vaughn,Christine Taylor,Comedy,
Mister Roberts,3.58,John Ford,734,1955,Henry Fonda,James Cagney,Comedy,War
The Secret of the Grain,3.88,Abdellatif Kechiche,571,2007,Habib Boufares,Hafsia Herzi,Drama,
Udaan,3.96,Vikramaditya Motwane,974,2010,Ronit Roy,Rajat Barmecha,Drama,
Silent Light,3.92,Carlos Reygadas,919,2007,Cornelio Wall,Miriam Toews,Drama,Romance
Force of Evil,3.64,Abraham Polonsky,1452,1948,John Garfield,Thomas Gomez,Drama,Crime
Brighton Rock,3.73,John Boulting,813,1948,Richard Attenborough,Hermione Baddeley,Drama,Crime
Teenage Mutant Ninja Turtles,3.32,Steve Barron,13137,1990,Judith Hoag,Elias Koteas,Comedy,Family
The Secret World of Arrietty,3.77,Hiromasa Yonebayashi,25919,2010,Mirai Shida,Ryunosuke Kamiki,Animation,Fantasy
Reprise,3.81,Joachim Trier,5506,2006,Anders Danielsen Lie,Espen Klouman Høiner,Drama,
In the Line of Fire,3.49,Wolfgang Petersen,5526,1993,Clint Eastwood,John Malkovich,Drama,Crime
D.O.A.,3.48,Rudolph Maté,1420,1949,Edmond O'Brien,Pamela Britton,Crime,Mystery
Leave No Trace,3.75,Debra Granik,11501,2018,Thomasin McKenzie,Ben Foster,Drama,
Crocodile Dundee,3.04,Peter Faiman,3370,1986,Paul Hogan,Linda Kozlowski,Comedy,Adventure
Jour de fête,3.57,Jacques Tati,1952,1949,Jacques Tati,Guy Decomble,Comedy,
Flags of Our Fathers,3.4,Clint Eastwood,1763,2006,Ryan Phillippe,Jesse Bradford,Drama,History
Queen Christina,3.73,Rouben Mamoulian,1319,1933,Greta Garbo,John Gilbert,History,Drama
Last Life in the Universe,3.89,Pen-Ek Ratanaruang,972,2003,Tadanobu Asano,Sinitta Boonyasak,Drama,Thriller
The Station Agent,3.81,Tom McCarthy,2271,2003,Peter Dinklage,Patricia Clarkson,Drama,Comedy
Tucker and Dale vs. Evil,3.65,Eli Craig,14144,2010,Alan Tudyk,Tyler Labine,Comedy,Horror
Operation Y and Other Shurik's Adventures,3.8,Leonid Gaidai,280,1965,Aleksandr Demyanenko,Mikhail Pugovkin,Comedy,Romance
In the Company of Men,3.64,Neil LaBute,814,1997,Aaron Eckhart,Stacy Edwards,Drama,Comedy
Bed and Board,3.77,François Truffaut,2903,1970,Jean-Pierre Léaud,Claude Jade,Comedy,Drama
Girl Shy,3.77,Fred C. Newmeyer,560,1924,Harold Lloyd,Jobyna Ralston,Comedy,Romance
Enemy,3.65,Denis Villeneuve,50997,2013,Jake Gyllenhaal,Sarah Gadon,Mystery,Thriller
Scenes from a Marriage,4.35,Ingmar Bergman,6116,1974,Liv Ullmann,Erland Josephson,Romance,Drama
The Last Duel,3.73,Ridley Scott,51069,2021,Matt Damon,Adam Driver,History,Drama
Spies,3.79,Fritz Lang,737,1928,Rudolf Klein-Rogge,Gerda Maurus,Thriller,Romance
Drifting Clouds,3.94,Aki Kaurismäki,1406,1996,Kati Outinen,Kari Väänänen,Comedy,Drama
Blow,3.47,Ted Demme,6777,2001,Johnny Depp,Penélope Cruz,Crime,Drama
The Grifters,3.43,Stephen Frears,2656,1990,Anjelica Huston,John Cusack,Drama,Crime
Encanto,3.54,Byron Howard,149893,2021,Stephanie Beatriz,María Cecilia Botero,Animation,Comedy
Chopper,3.62,Andrew Dominik,2278,2000,Eric Bana,Vince Colosimo,Drama,Crime
Fright Night,3.56,Tom Holland,14028,1985,Chris Sarandon,William Ragsdale,Comedy,Horror
Up in Smoke,3.38,Lou Adler,3217,1978,Cheech Marin,Tommy Chong,Comedy,
A Very Long Engagement,3.69,Jean-Pierre Jeunet,1095,2004,Audrey Tautou,Gaspard Ulliel,Drama,Romance
Ice Age: Dawn of the Dinosaurs,3.06,Carlos Saldanha,7472,2009,Ray Romano,John Leguizamo,Comedy,Adventure
She Wore a Yellow Ribbon,3.58,John Ford,1539,1949,John Wayne,Joanne Dru,Western,
Twentieth Century,3.58,Howard Hawks,1820,1934,John Barrymore,Carole Lombard,Romance,Comedy
The Damned,3.75,Luchino Visconti,1452,1969,Dirk Bogarde,Ingrid Thulin,Drama,History
Il Divo,3.68,Paolo Sorrentino,1093,2008,Toni Servillo,Anna Bonaiuto,Drama,
Pleasantville,3.67,Gary Ross,12489,1998,Tobey Maguire,Reese Witherspoon,Comedy,Fantasy
777 Charlie,3.59,Kiranraj K.,988,2022,Rakshit Shetty,Raj B Shetty,Drama,Adventure
The Ballad of Narayama,3.98,Keisuke Kinoshita,1190,1958,Kinuyo Tanaka,Teiji Takahashi,Drama,
Atlantis: The Lost Empire,3.66,Gary Trousdale,19625,2001,Michael J. Fox,Cree Summer,Family,Animation
Mudbound,3.74,Dee Rees,5626,2017,Carey Mulligan,Jason Clarke,Drama,
While You Were Sleeping,3.47,Jon Turteltaub,19967,1995,Sandra Bullock,Bill Pullman,Comedy,Romance
Hope and Glory,3.66,John Boorman,626,1987,Sebastian Rice-Edwards,Geraldine Muir,Drama,Family
The Lost World: Jurassic Park,3.07,Steven Spielberg,23640,1997,Jeff Goldblum,Julianne Moore,Science Fiction,Action
Charley Varrick,3.82,Don Siegel,1973,1973,Walter Matthau,Joe Don Baker,Crime,Thriller
Le Million,3.69,René Clair,555,1931,René Lefèvre,Annabella,Comedy,Music
Secretary,3.44,Steven Shainberg,15745,2002,James Spader,Maggie Gyllenhaal,Comedy,Drama
Rocky IV,3.57,Sylvester Stallone,22880,1985,Sylvester Stallone,Talia Shire,Drama,
The Mortal Storm,3.87,Frank Borzage,743,1940,Margaret Sullavan,James Stewart,Drama,
The Kashmir Files,2.9,Vivek Agnihotri,842,2022,Mithun Chakraborty,Anupam Kher,History,Drama
"Black God, White Devil",3.78,Glauber Rocha,3220,1964,Geraldo del Rey,Yoná Magalhães,Drama,Western
La Grande Bouffe,3.61,Marco Ferreri,1801,1973,Marcello Mastroianni,Ugo Tognazzi,Drama,Comedy
Ocean's Twelve,3.27,Steven Soderbergh,28385,2004,George Clooney,Brad Pitt,Crime,Thriller
Man on Wire,3.86,James Marsh,2464,2008,Philippe Petit,Jean François Heckel,Documentary,
Payback,3.32,Brian Helgeland,2151,1999,Mel Gibson,Gregg Henry,Drama,Crime
The Milky Way,3.64,Luis Buñuel,835,1969,Paul Frankeur,Laurent Terzieff,Drama,Comedy
Animal Farm,3.36,John Halas,2453,1954,Gordon Heath,Maurice Denham,Animation,Drama
The Plague Dogs,3.94,Martin Rosen,2397,1982,John Hurt,Christopher Benjamin,Drama,Animation
The Dawns Here Are Quiet,3.84,Stanislav Rostotsky,136,1972,Andrey Martynov,Irina Dolganova,Drama,History
Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,3.81,Haruo Sotozaki,121,2021,Natsuki Hanae,Akari Kito,Fantasy,Action
Day of the Wacko,3.92,Marek Koterski,559,2002,Marek Kondrat,Janina Traczykówna,Comedy,
"tick, tick...BOOM!",3.82,Lin-Manuel Miranda,123634,2021,Andrew Garfield,Robin de Jesús,Drama,Music
Fist of Legend,3.71,Gordon Chan,743,1994,Jet Li,Shinobu Nakayama,Action,
TRON: Legacy,3.13,Joseph Kosinski,23050,2010,Jeff Bridges,Garrett Hedlund,Action,Adventure
Brotherhood of the Wolf,3.34,Christophe Gans,3451,2001,Samuel Le Bihan,Vincent Cassel,Adventure,Action
Cleopatra,3.47,Joseph L. Mankiewicz,3345,1963,Elizabeth Taylor,Richard Burton,History,Drama
The Outsiders,3.57,Francis Ford Coppola,21674,1983,C. Thomas Howell,Matt Dillon,Drama,Crime
X-Men: The Last Stand,2.58,Brett Ratner,17311,2006,Hugh Jackman,Ian McKellen,Thriller,Science Fiction
Maleficent,3.15,Robert Stromberg,14554,2014,Angelina Jolie,Elle Fanning,Fantasy,Action
The Music Box,3.87,James Parrott,822,1932,Oliver Hardy,Stan Laurel,Comedy,
Heimat,4.14,Edgar Reitz,142,1984,Kurt Wagner,Marita Breuer,Drama,
F for Fake,4.18,Orson Welles,9767,1973,Orson Welles,Oja Kodar,Documentary,
The Corporation,3.73,Mark Achbar,399,2003,Jane Akre,Ray Anderson,Documentary,
Sita Sings the Blues,3.61,Nina Paley,690,2008,Reena Shah,Debargo Sanyal,Romance,Animation
Ashes of Time,3.54,Wong Kar-wai,4046,1994,Leslie Cheung,Tony Leung Ka-fai,Drama,Action
Mediterraneo,3.72,Gabriele Salvatores,575,1991,Diego Abatantuono,Claudio Bigagli,Comedy,War
Enemy at the Gates,3.49,Jean-Jacques Annaud,3303,2001,Jude Law,Joseph Fiennes,Romance,War
The Story of a Cheat,3.85,Sacha Guitry,360,1936,Sacha Guitry,Jacqueline Delubac,Crime,Comedy
Tropical Malady,4.1,Apichatpong Weerasethakul,4189,2004,Banlop Lomnoi,Sakda Kaewbuadee,Drama,Romance
The Round-Up,3.94,Miklós Jancsó,470,1966,Zoltán Latinovits,János Görbe,History,Drama
The Abominable Dr. Phibes,3.64,Robert Fuest,3316,1971,Vincent Price,Joseph Cotten,Horror,Comedy
Spider,3.4,David Cronenberg,2128,2002,Ralph Fiennes,Miranda Richardson,Drama,Mystery
Barfi!,3.76,Anurag Basu,1271,2012,Ranbir Kapoor,Priyanka Chopra Jonas,Drama,Romance
Room at the Top,3.74,Jack Clayton,863,1959,Simone Signoret,Laurence Harvey,Romance,Drama
Nocturnal Animals,3.73,Tom Ford,48265,2016,Amy Adams,Jake Gyllenhaal,Drama,Thriller
Soorarai Pottru,3.7,Sudha Kongara Prasad,843,2020,Suriya,Aparna Balamurali,Action,Drama
Summer Interlude,3.82,Ingmar Bergman,1980,1951,Maj-Britt Nilsson,Birger Malmsten,Drama,Romance
Beasts of No Nation,3.91,Cary Joji Fukunaga,5740,2015,Abraham Attah,Idris Elba,War,Drama
The Terminal,3.57,Steven Spielberg,23741,2004,Tom Hanks,Catherine Zeta-Jones,Comedy,Drama
The White Sun of the Desert,3.59,Vladimir Motyl,327,1969,Anatoliy Kuznetsov,Pavel Luspekayev,Action,War
Shadows in Paradise,3.84,Aki Kaurismäki,2626,1986,Matti Pellonpää,Kati Outinen,Comedy,Romance
La Roue,3.92,Abel Gance,596,1923,Séverin-Mars,Ivy Close,Drama,
Stromboli,3.82,Roberto Rossellini,2108,1950,Ingrid Bergman,Mario Vitale,Drama,
Rio,3.24,Carlos Saldanha,16906,2011,Jesse Eisenberg,Anne Hathaway,Adventure,Animation
13th,4.3,Ava DuVernay,12457,2016,Jelani Cobb,Angela Davis,Documentary,
Marie Antoinette,3.72,Sofia Coppola,74779,2006,Kirsten Dunst,Jason Schwartzman,History,Drama
Dear Diary,3.88,Nanni Moretti,2100,1993,Nanni Moretti,Renato Carpentieri,Comedy,Drama
Sleepers,3.66,Barry Levinson,8819,1996,Kevin Bacon,Robert De Niro,Crime,Thriller
Cloud Atlas,3.45,Tom Tykwer,12419,2012,Tom Hanks,Halle Berry,Drama,Science Fiction
The Goddess,3.88,Yonggang Wu,883,1934,Ruan Lingyu,Zhang Zhizhi,Drama,
Doubt,3.9,John Patrick Shanley,7686,2008,Meryl Streep,Philip Seymour Hoffman,Drama,
Performance,3.56,Nicolas Roeg,2633,1970,James Fox,Mick Jagger,Drama,Fantasy
Under the Skin,3.63,Jonathan Glazer,42575,2013,Scarlett Johansson,Jeremy McWilliams,Science Fiction,Thriller
50 First Dates,3.21,Peter Segal,24242,2004,Adam Sandler,Drew Barrymore,Comedy,Romance
The Wolf Man,3.51,George Waggner,8604,1941,Lon Chaney Jr.,Claude Rains,Horror,Drama
Crazy Rich Asians,3.47,Jon M. Chu,65427,2018,Constance Wu,Henry Golding,Comedy,Romance
Love Me If You Dare,3.51,Yann Samuell,2084,2003,Guillaume Canet,Marion Cotillard,Comedy,Drama
The Secret of Kells,3.82,Tomm Moore,5420,2009,Evan McGuire,Christen Mooney,Animation,Family
Lemony Snicket's A Series of Unfortunate Events,3.23,Brad Silberling,10106,2004,Emily Browning,Liam Aiken,Family,Adventure
Citizenfour,3.95,Laura Poitras,4211,2014,Edward Snowden,Glenn Greenwald,Documentary,
"Crazy, Stupid, Love.",3.64,Glenn Ficarra,90024,2011,Steve Carell,Ryan Gosling,Comedy,Romance
Innocence,3.94,Zeki Demirkubuz,1361,1997,Haluk Bilginer,Derya Alabora,Drama,
The Passion of Anna,3.91,Ingmar Bergman,2041,1969,Max von Sydow,Liv Ullmann,Drama,
Mr. Arkadin,3.68,Orson Welles,1766,1955,Orson Welles,Michael Redgrave,Thriller,Mystery
"Faster, Pussycat! Kill! Kill!",3.62,Russ Meyer,4018,1965,Tura Satana,Haji,Crime,Thriller
"The Irony of Fate, or Enjoy Your Bath!",3.77,Eldar Ryazanov,818,1975,Andrey Myagkov,Barbara Brylska,Romance,TV Movie
Philomena,3.67,Stephen Frears,4498,2013,Judi Dench,Steve Coogan,Drama,
Drag Me to Hell,3.2,Sam Raimi,24119,2009,Alison Lohman,Justin Long,Thriller,Horror
Munna Bhai M.B.B.S.,3.64,Rajkumar Hirani,498,2003,Sanjay Dutt,Arshad Warsi,Drama,Comedy
Gentleman's Agreement,3.51,Elia Kazan,1862,1947,Gregory Peck,Dorothy McGuire,Romance,Drama
Not One Less,3.84,Zhang Yimou,376,1999,Wei Minzhi,Zhang Huike,Drama,
Metropolis,3.74,Rintaro,2434,2001,Kei Kobayashi,Yuka Imoto,Science Fiction,Animation
Bullhead,3.69,Michaël R. Roskam,711,2011,Matthias Schoenaerts,Jeroen Perceval,Crime,Drama
Freedom Writers,3.57,Richard LaGravenese,7778,2007,Hilary Swank,Scott Glenn,Drama,Crime
Boy A,3.66,John Crowley,1054,2007,Andrew Garfield,Katie Lyons,Drama,Crime
BPM (Beats per Minute),3.95,Robin Campillo,4474,2017,Nahuel Pérez Biscayart,Arnaud Valois,Drama,
Syndromes and a Century,4.04,Apichatpong Weerasethakul,1972,2006,Nantarat Sawaddikul,Jaruchai Iamaram,Drama,Romance
Limitless,3.3,Neil Burger,13698,2011,Bradley Cooper,Robert De Niro,Thriller,Science Fiction
My Big Fat Greek Wedding,3.35,Joel Zwick,19661,2002,Nia Vardalos,John Corbett,Drama,Romance
Arthur,3.35,Steve Gordon,1700,1981,Dudley Moore,Liza Minnelli,Romance,Drama
Fury,3.7,David Ayer,23065,2014,Brad Pitt,Shia LaBeouf,War,Drama
A Town Called Panic,3.95,Stéphane Aubier,3050,2009,Stéphane Aubier,Bruce Ellison,Fantasy,Adventure
In the Heat of the Sun,4.09,Jiang Wen,527,1994,Xia Yu,Geng Le,Romance,Drama
The Fast and the Furious,3.29,Rob Cohen,42250,2001,Paul Walker,Vin Diesel,Action,Crime
The Most Dangerous Game,3.43,Ernest B. Schoedsack,4072,1932,Joel McCrea,Fay Wray,Thriller,Action
Floating Clouds,3.94,Mikio Naruse,761,1955,Hideko Takamine,Masayuki Mori,Drama,Romance
Vive L'Amour,4.07,Tsai Ming-liang,3464,1994,Lee Kang-sheng,Yang Kuei-Mei,Drama,
The Past,3.8,Asghar Farhadi,1774,2013,Bérénice Bejo,Ali Mosaffa,Mystery,Drama
The Second Mother,4.09,Anna Muylaert,12741,2015,Regina Casé,Camila Márdila,Drama,
Cross of Iron,3.76,Sam Peckinpah,1463,1977,James Coburn,Maximilian Schell,Action,History
Gummo,3.64,Harmony Korine,19771,1997,Jacob Reynolds,Linda Manz,Comedy,Drama
Aquarius,3.95,Kleber Mendonça Filho,5538,2016,Sônia Braga,Maeve Jinkings,Drama,
A Day in the Country,3.86,Jean Renoir,1919,1946,Sylvia Bataille,Jane Marken,Drama,Comedy
In America,3.77,Jim Sheridan,688,2002,Samantha Morton,Paddy Considine,Drama,
The Black Cat,3.54,Edgar G. Ulmer,5888,1934,Boris Karloff,Bela Lugosi,Horror,
Kireedam,3.86,Sibi Malayil,164,1989,Mohanlal,Thilakan,Drama,Action
Madagascar 3: Europe's Most Wanted,2.9,Conrad Vernon,10455,2012,Ben Stiller,Chris Rock,Family,Adventure
The Hand of God,3.78,Paolo Sorrentino,22114,2021,Filippo Scotti,Toni Servillo,Drama,
The Fog,3.46,John Carpenter,21299,1980,Adrienne Barbeau,Hal Holbrook,Horror,Thriller
Crash,3.68,David Cronenberg,31911,1996,James Spader,Holly Hunter,Drama,
Cell 211,3.74,Daniel Monzón,1194,2009,Luis Tosar,Alberto Ammann,Action,Thriller
The Rescuers,3.37,Wolfgang Reitherman,5626,1977,Bob Newhart,Eva Gabor,Family,Adventure
Mikey and Nicky,4.04,Elaine May,15329,1976,Peter Falk,John Cassavetes,Drama,Crime
The Kite Runner,3.38,Marc Forster,1380,2007,Ahmad Khan Mahmoodzada,Atossa Leoni,Drama,
Belfast,3.47,Kenneth Branagh,46041,2021,Jude Hill,Lewis McAskie,Drama,History
In a Year with 13 Moons,3.99,Rainer Werner Fassbinder,1148,1978,Volker Spengler,Ingrid Caven,Drama,
Underworld,3.79,Josef von Sternberg,677,1927,George Bancroft,Evelyn Brent,Romance,Drama
Before Night Falls,3.63,Julian Schnabel,738,2000,Javier Bardem,Olivier Martinez,Drama,
Zindagi Na Milegi Dobara,3.87,Zoya Akhtar,3909,2011,Hrithik Roshan,Farhan Akhtar,Romance,Drama
Demons,4.18,Toshio Matsumoto,1963,1971,Katsuo Nakamura,Juro Kara,Drama,Horror
Hamlet,3.68,Kenneth Branagh,3444,1996,Kenneth Branagh,Derek Jacobi,Drama,
Red Sorghum,3.75,Zhang Yimou,989,1988,Gong Li,Jiang Wen,History,Drama
Annihilation,3.58,Alex Garland,82487,2018,Natalie Portman,Jennifer Jason Leigh,Horror,Science Fiction
Lethal Weapon 3,3.18,Richard Donner,3376,1992,Mel Gibson,Danny Glover,Thriller,Adventure
Riki-Oh: The Story of Ricky,3.8,Lam Ngai Kai,5830,1991,Louis Fan Siu-Wong,Gloria Yip Wan-Yee,Science Fiction,Crime
Il Grido,3.79,Michelangelo Antonioni,577,1957,Steve Cochran,Alida Valli,Drama,
mother!,3.46,Darren Aronofsky,85273,2017,Jennifer Lawrence,Javier Bardem,Drama,Horror
Clash of the Titans,3.34,Desmond Davis,2821,1981,Harry Hamlin,Judi Bowker,Fantasy,Adventure
Che: Part One,3.75,Steven Soderbergh,2446,2008,Benicio del Toro,Demián Bichir,War,Drama
Beyond the Hills,3.89,Cristian Mungiu,995,2012,Cosmina Stratan,Cristina Flutur,Romance,Drama
Kill Bill: The Whole Bloody Affair,4.32,Quentin Tarantino,2490,2006,Uma Thurman,Lucy Liu,Thriller,Crime
After the Wedding,3.73,Susanne Bier,1150,2006,Mads Mikkelsen,Stine Fischer Christensen,Drama,
White Dog,3.68,Samuel Fuller,2451,1982,Kristy McNichol,Paul Winfield,Thriller,Drama
Gigi,3.06,Vincente Minnelli,2856,1958,Leslie Caron,Maurice Chevalier,Romance,Comedy
Manila in the Claws of Light,4.13,Lino Brocka,2532,1975,Bembol Roco,Lou Salvador Jr.,Drama,Mystery
The Golem: How He Came into the World,3.66,Paul Wegener,2149,1920,Paul Wegener,Albert Steinrück,Horror,Fantasy
Shazam!,3.12,David F. Sandberg,51679,2019,Zachary Levi,Mark Strong,Action,Comedy
Body and Soul,3.76,Robert Rossen,466,1947,John Garfield,Lilli Palmer,Drama,
5 Centimeters per Second,3.55,Makoto Shinkai,9308,2007,Kenji Mizuhashi,Yoshimi Kondou,Animation,Family
Moolaadé,3.94,Ousmane Sembène,619,2004,Fatoumata Coulibaly,Maimouna Hélène Diarra,Drama,
Hamlet,4.08,Grigori Kozintsev,272,1964,Innokentiy Smoktunovskiy,Anastasiya Vertinskaya,Drama,
Hera Pheri,3.71,Priyadarshan,464,2000,Akshay Kumar,Suniel Shetty,Comedy,Crime
The Road Home,3.79,Zhang Yimou,564,1999,Zhang Ziyi,Zheng Hao,Romance,Drama
Ant-Man and the Wasp,2.91,Peyton Reed,49334,2018,Paul Rudd,Evangeline Lilly,Adventure,Action
Manichitrathazhu,3.91,Fazil,539,1993,Shobana,Mohanlal,Horror,Thriller
Woman of the Year,3.4,George Stevens,1555,1942,Spencer Tracy,Katharine Hepburn,Drama,Comedy
The Last Boy Scout,3.42,Tony Scott,6000,1991,Bruce Willis,Damon Wayans,Action,Thriller
The Northman,3.8,Robert Eggers,141921,2022,Alexander Skarsgård,Nicole Kidman,Fantasy,Adventure
Scarecrow,3.8,Jerry Schatzberg,2876,1973,Gene Hackman,Al Pacino,Drama,
Show People,3.71,King Vidor,389,1928,Marion Davies,William Haines,Comedy,Romance
Hail the Conquering Hero,3.83,Preston Sturges,911,1944,Eddie Bracken,Ella Raines,War,Comedy
The Wild Child,3.65,François Truffaut,906,1970,Jean-Pierre Cargol,François Truffaut,History,Drama
When We Were Kings,4.08,Leon Gast,2126,1996,Muhammad Ali,George Foreman,Documentary,
Irma Vep,3.92,Olivier Assayas,14498,1996,Maggie Cheung,Jean-Pierre Léaud,Drama,Comedy
Rush Hour 2,3.29,Brett Ratner,10907,2001,Jackie Chan,Chris Tucker,Action,Crime
Thor: The Dark World,2.22,Alan Taylor,40410,2013,Chris Hemsworth,Natalie Portman,Action,Adventure
Going Places,3.5,Bertrand Blier,656,1974,Gérard Depardieu,Miou-Miou,Comedy,Drama
West Side Story,3.62,Steven Spielberg,91573,2021,Ansel Elgort,Rachel Zegler,Romance,Crime
"I'm a Cyborg, But That's OK",3.65,Park Chan-wook,5499,2006,Lim Soo-jung,Rain,Romance,Drama
A Zed & Two Noughts,3.85,Peter Greenaway,1608,1985,Frances Barber,Joss Ackland,Drama,Comedy
All That Money Can Buy,3.69,William Dieterle,793,1941,Edward Arnold,Walter Huston,Fantasy,Drama
Cronos,3.42,Guillermo del Toro,8571,1992,Federico Luppi,Ron Perlman,Horror,Thriller
The Trouble with Harry,3.44,Alfred Hitchcock,4141,1955,John Forsythe,Shirley MacLaine,Comedy,Mystery
Maverick,3.36,Richard Donner,1743,1994,Mel Gibson,Jodie Foster,Action,Comedy
eXistenZ,3.58,David Cronenberg,14698,1999,Jennifer Jason Leigh,Jude Law,Science Fiction,Thriller
"I, Tonya",3.85,Craig Gillespie,86454,2017,Margot Robbie,Sebastian Stan,Drama,Comedy
Mr. & Mrs. Smith,3.16,Doug Liman,44700,2005,Brad Pitt,Angelina Jolie,Thriller,Drama
Maborosi,4.08,Hirokazu Kore-eda,3459,1995,Makiko Esumi,Tadanobu Asano,Drama,
Two Acres of Land,3.73,Bimal Roy,183,1953,Balraj Sahni,Nirupa Roy,Drama,
The Little Prince,3.78,Mark Osborne,8928,2015,Riley Osborne,Mackenzie Foy,Family,Fantasy
Bolt,3.04,Chris Williams,12300,2008,John Travolta,Susie Essman,Family,Animation
The Hero,4.08,Satyajit Ray,1139,1966,Uttam Kumar,Sharmila Tagore,Drama,
Zombie Flesh Eaters,3.56,Lucio Fulci,8538,1979,Tisa Farrow,Ian McCulloch,Horror,
The Hurricane,3.64,Norman Jewison,1360,1999,Denzel Washington,Vicellous Shannon,Drama,
Space Jam,3.23,Joe Pytka,21887,1996,Michael Jordan,Wayne Knight,Family,Comedy
Panic Room,3.49,David Fincher,21741,2002,Jodie Foster,Kristen Stewart,Thriller,Crime
The Visitor,3.7,Tom McCarthy,813,2007,Richard Jenkins,Haaz Sleiman,Music,Drama
The Impossible,3.57,J. A. Bayona,16946,2012,Naomi Watts,Ewan McGregor,Adventure,Drama
The Soft Skin,3.74,François Truffaut,1254,1964,Françoise Dorléac,Jean Desailly,Romance,Drama
The Mask of Zorro,3.33,Martin Campbell,8255,1998,Antonio Banderas,Anthony Hopkins,Action,Adventure
Bitter Rice,3.84,Giuseppe De Santis,951,1949,Vittorio Gassman,Doris Dowling,Crime,Drama
The 4th Man,3.78,Paul Verhoeven,1528,1983,Jeroen Krabbé,Renée Soutendijk,Mystery,Drama
Saving Mr. Banks,3.48,John Lee Hancock,7430,2013,Emma Thompson,Tom Hanks,History,Comedy
A Chinese Ghost Story,3.72,Tony Ching Siu-Tung,1775,1987,Leslie Cheung,Joey Wong,Fantasy,Action
You Only Live Once,3.74,Fritz Lang,1404,1937,Sylvia Sidney,Henry Fonda,Crime,Romance
Jesus of Montreal,3.64,Denys Arcand,351,1989,Lothaire Bluteau,Catherine Wilkening,Drama,
The Bank Dick,3.49,Edward F. Cline,879,1940,W.C. Fields,Cora Witherspoon,Comedy,
Law Abiding Citizen,3.31,F. Gary Gray,7049,2009,Jamie Foxx,Gerard Butler,Drama,Thriller
Ruggles of Red Gap,3.87,Leo McCarey,527,1935,Charles Laughton,Mary Boland,Comedy,
The Look of Silence,4.28,Joshua Oppenheimer,2528,2014,Adi Rukun,M.Y. Basrun,History,Documentary
The Life of David Gale,3.4,Alan Parker,1899,2003,Kevin Spacey,Kate Winslet,Crime,Drama
Man on the Moon,3.79,Miloš Forman,6585,1999,Jim Carrey,Danny DeVito,Comedy,Drama
America America,3.79,Elia Kazan,467,1963,Stathis Giallelis,Frank Wolff,Drama,History
Baby Doll,3.62,Elia Kazan,806,1956,Karl Malden,Carroll Baker,Drama,
Men in Black 3,3.07,Barry Sonnenfeld,10531,2012,Will Smith,Tommy Lee Jones,Comedy,Action
The Bucket List,3.24,Rob Reiner,3812,2007,Jack Nicholson,Morgan Freeman,Drama,Comedy
The Collector,3.74,William Wyler,1142,1965,Terence Stamp,Samantha Eggar,Thriller,
Inside,3.49,Alexandre Bustillo,8862,2007,Alysson Paradis,Béatrice Dalle,Horror,
Cruella,3.43,Craig Gillespie,102018,2021,Emma Stone,Emma Thompson,Comedy,Crime
